,time,open,high,low,close,tick_volume,spread,real_volume
12392,1671436800,1.06067,1.06571,1.06027,1.0617,24100,16,0
12393,1671451200,1.06173,1.06344,1.05965,1.06054,25120,16,0
12394,1671465600,1.06055,1.06302,1.05751,1.0624,29853,16,0
12395,1671480000,1.0624,1.0625499999999999,1.05999,1.06034,15733,16,0
12396,1671494400,1.06029,1.06119,1.05969,1.06044,10553,16,0
12397,1671508800,1.06044,1.06513,1.05779,1.05857,38534,16,0
12398,1671523200,1.05854,1.06373,1.0582,1.06363,41651,16,0
12399,1671537600,1.06358,1.06453,1.05934,1.06148,28606,16,0
12400,1671552000,1.06146,1.0658,1.05976,1.06142,40084,16,0
12401,1671566400,1.0614,1.06284,1.05984,1.06159,15917,16,0
12402,1671580800,1.06234,1.06273,1.06127,1.06193,13593,16,0
12403,1671595200,1.06192,1.06251,1.0606,1.06166,11503,16,0
12404,1671609600,1.06168,1.06366,1.06088,1.06138,23007,16,0
12405,1671624000,1.06136,1.06445,1.06039,1.06279,24035,16,0
12406,1671638400,1.06278,1.06327,1.05895,1.05996,33455,16,0
